timestamp,sensor,value_raw,value_type,value_numeric,value_state,activity,activity_phase,source_file
2008-02-26T10:50:08.326396,M07,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:08.584328,M08,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:09.750016,M09,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:09.927975,M14,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:10.779820,M07,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:11.165620,M09,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:11.719477,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:11.990464,M08,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:13.497989,M01,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:14.552694,M14,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:14.900598,I08,ABSENT,state,,ABSENT,t1,,p40.t1.csv
2008-02-26T10:50:21.415811,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:21.550833,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:26.833422,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:27.885049,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:29.356661,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:38.541740,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:44.499339,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:48.437752,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:52.000000,asterisk,START,string,,,t1,,p40.t1.csv
2008-02-26T10:50:52.456679,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:50:54.776673,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:50:59.173071,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:51:13.593490,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:51:18.232199,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:51:19.751764,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:51:20.777497,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:51:38.586812,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:51:40.000000,asterisk,END,string,,,t1,,p40.t1.csv
2008-02-26T10:51:42.376153,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:51:42.941213,M13,ON,state,,ON,t1,,p40.t1.csv
2008-02-26T10:51:47.915699,M13,OFF,state,,OFF,t1,,p40.t1.csv
2008-02-26T10:52:19.476505,M16,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:52:20.320244,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:52:20.933096,M16,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:21.535933,M14,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:22.513703,M13,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:22.513703,M15,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:23.551380,M17,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:42.896071,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:52:46.547309,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:52:48.408436,M18,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:52:51.985769,M17,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:53.471799,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:52:56.000000,E01,START_INSTRUCT,string,,,t2,,p40.t2.csv
2008-02-26T10:52:56.394023,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:52:56.521150,M17,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:58.577436,M17,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:59.648222,M18,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:52:59.792264,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:53:01.450101,M17,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:53:20.211040,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:53:30.930139,M17,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:53:39.943608,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:53:40.707378,D01,OPEN,state,,OPEN,t2,,p40.t2.csv
2008-02-26T10:53:41.000000,E01,STOP_INSTRUCT,string,,,t2,,p40.t2.csv
2008-02-26T10:53:43.512642,I02,ABSENT,state,,ABSENT,t2,,p40.t2.csv
2008-02-26T10:53:43.978491,I01,ABSENT,state,,ABSENT,t2,,p40.t2.csv
2008-02-26T10:53:44.254488,I01,PRESENT,state,,PRESENT,t2,,p40.t2.csv
2008-02-26T10:53:44.972231,I05,ABSENT,state,,ABSENT,t2,,p40.t2.csv
2008-02-26T10:53:47.883443,D01,CLOSE,state,,CLOSE,t2,,p40.t2.csv
2008-02-26T10:53:51.456463,M17,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:53:52.112690,AD1-B,0.0421491,numeric,0.0421491,,t2,,p40.t2.csv
2008-02-26T10:53:54.721822,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:53:55.107910,AD1-B,0.155979,numeric,0.155979,,t2,,p40.t2.csv
2008-02-26T10:53:55.842976,M17,OFF,state,,OFF,t2,,p40.t2.csv
2008-02-26T10:54:00.980364,M17,ON,state,,ON,t2,,p40.t2.csv
2008-02-26T10:54:01.115329,AD1-B,0.223675,numeric,0.223675,,t2,,p40.t2.csv
