date,time,sensor,message
2008-06-04,09:03:27.535946,M23,ON
2008-06-04,09:03:27.535946,M01,ON
2008-06-04,09:03:28.617601,M07,ON
2008-06-04,09:03:29.105569,M08,ON
2008-06-04,09:03:29.967462,M09,ON
2008-06-04,09:03:30.84641,M14,ON
2008-06-04,09:03:31.676519,M23,OFF
2008-06-04,09:03:31.676519,M09,OFF
2008-06-04,09:03:31.974608,M08,OFF
2008-06-04,09:03:31.974608,M01,OFF
2008-06-04,09:03:32.2486,M07,OFF
2008-06-04,09:03:33.483746,M13,ON
2008-06-04,09:03:34.977824,I08,ABSENT
2008-06-04,09:03:35.285918,M14,OFF
2008-06-04,09:03:40.623021,M13,OFF
2008-06-04,09:03:47.753866,M13,ON
2008-06-04,09:03:49.491425,M13,OFF
2008-06-04,09:03:49.962301,M13,ON
2008-06-04,09:03:50.97303,M13,OFF
2008-06-04,09:03:57.625991,M13,ON
2008-06-04,09:04:02.24763,M13,OFF
2008-06-04,09:04:07.487244,M13,ON
2008-06-04,09:04:09.373696,M13,OFF
2008-06-04,09:04:13.506617,M13,ON
2008-06-04,09:04:17.325572,M13,OFF
2008-06-04,09:04:18.46386,M13,ON
2008-06-04,09:04:19.867891,M13,OFF
2008-06-04,09:04:22.539224,M13,ON
2008-06-04,09:04:26.233386,M13,OFF
2008-06-04,09:04:26.724279,M13,ON
2008-06-04,09:04:30.133427,M13,OFF
2008-06-04,09:04:32.906674,M13,ON
2008-06-04,09:04:36.19386,M13,OFF
2008-06-04,09:04:37.610566,M13,ON
2008-06-04,09:04:41.366842,M13,OFF
2008-06-04,09:04:44.392133,M13,ON
2008-06-04,09:04:47.31637,M13,OFF
2008-06-04,09:04:49.807914,M13,ON
2008-06-04,09:04:51.654561,M13,OFF
2008-06-04,09:04:53.307452,M13,ON
2008-06-04,09:04:54.346381,M13,OFF
2008-06-04,09:04:56.884804,M13,ON
2008-06-04,09:04:58.944235,M13,OFF
2008-06-04,09:05:02.290856,M13,ON
2008-06-04,09:05:10.697757,M13,OFF
2008-06-04,09:05:14.125826,M13,ON
2008-06-04,09:05:15.172546,M13,OFF
2008-06-04,09:05:21.52083,M13,ON
2008-06-04,09:05:29.779667,M13,OFF
2008-06-04,09:05:36.582173,M13,ON
2008-06-04,09:05:38.907543,M13,OFF
2008-06-04,09:06:52.539398,M13,ON
2008-06-04,09:06:53.596209,M13,OFF
2008-06-04,09:07:20.857736,M13,ON
2008-06-04,09:07:22.616903,M13,OFF
2008-06-04,09:07:45.155367,M13,ON
2008-06-04,09:07:49.683339,M13,OFF
2008-06-04,09:07:50.747103,M13,ON
2008-06-04,09:07:52.705666,M13,OFF
2008-06-04,09:08:34.922499,M13,ON
2008-06-04,09:08:36.588076,M13,OFF
2008-06-04,09:08:47.705053,M13,ON
2008-06-04,09:08:50.778224,M13,OFF
2008-06-04,09:09:04.53287,M13,ON
2008-06-04,09:09:07.541078,M13,OFF
2008-06-04,09:09:09.402715,M13,ON
2008-06-04,09:09:10.90272,M13,OFF
2008-06-04,09:09:16.579309,M13,ON
2008-06-04,09:09:17.934008,M14,ON
2008-06-04,09:09:19.653574,M08,ON
2008-06-04,09:09:19.994523,M13,OFF
2008-06-04,09:09:20.217469,M07,ON
2008-06-04,09:09:20.56037,M14,OFF
2008-06-04,09:09:23.250676,M14,ON
2008-06-04,09:09:23.587647,M13,ON
2008-06-04,09:09:24.58458,M08,OFF
2008-06-04,09:09:25.473582,M07,OFF
2008-06-04,09:09:27.21327,M14,OFF
2008-06-04,09:09:32.490919,M13,OFF
2008-06-04,09:09:41.714157,M13,ON
2008-06-04,09:09:44.943249,M13,OFF
2008-06-04,09:10:14.666507,M13,ON
2008-06-04,09:10:20.527146,M13,OFF
