sensor,x,y,cluster
AD1-A,-0.10793324,0.028520953,1
AD1-B,-0.07299443,0.044703886,1
AD1-C,-0.0031578958,0.0170761,1
D01,-0.06280728,-0.10640095,2
E01,-0.047295716,-0.06467486,2
I01,-0.10783228,-0.10945581,2
I02,0.10177743,-0.121284455,0
I03,0.048702262,-0.049689915,0
I04,-0.11102115,-0.016981581,1
I05,-0.020214766,-0.029564103,2
I06,-0.09181832,0.04208545,1
I07,0.04066392,-0.019191906,0
I08,-0.022154713,0.0876283,3
I09,0.009279017,0.009743716,0
M01,-0.02818496,0.03771738,1
M06,-0.037978787,-0.040269017,2
M07,-0.05759212,-0.07424749,2
M08,0.08790025,-0.0351763,0
M09,0.036346383,0.099038735,3
M10,-0.036370225,-0.0033690406,1
M13,0.08737435,0.03295534,0
M14,-0.031507008,0.057770282,1
M15,-0.058928303,0.0019252739,1
M16,-0.08957139,0.077881046,1
M17,-0.07008873,0.064820915,1
M18,-8.846829e-05,0.102479234,3
M21,0.07553775,0.06353239,3
M22,-0.04315802,0.032215543,1
M23,-0.022644807,-0.055070657,2
asterisk,0.06913285,0.016013147,0
